,gene,importance
0,adhB_bacsu,0.0
1,asd_bacsu,0.0
2,asnO_bacsu,0.09799999999999998
3,azoR2_bacsu,0.0
4,bdbC_bacsu,0.0
5,bdbD_bacsu,0.0
6,bofA_bacsu,0.0
7,bofC_bacsu,0.0
8,bslA_bacsu,0.0
9,ccpB_bacsu,0.0
10,cdaS_bacsu,0.0
11,cgeA_bacsu,0.0
12,cgeB_bacsu,0.0
13,cgeC_bacsu,0.0
14,cgeD_bacsu,0.0
15,cgeE_bacsu,0.0
16,chaA_bacsu,0.0
17,clpC_bacsu,0.003
18,cmpA_bacsu,0.0
19,comER_bacsu,0.0
20,cotA_bacsu,0.0
21,cotB_bacsu,0.0
22,cotD_bacsu,0.0
23,cotE_bacsu,0.0
24,cotF_bacsu,0.0
25,cotG_bacsu,0.0
26,cotH_bacsu,0.0
27,cotI_bacsu,0.0
28,cotJA_bacsu,0.0
29,cotJB_bacsu,0.163
30,cotJC_bacsu,0.19599999999999995
31,cotM_bacsu,0.0
32,cotO_bacsu,0.0
33,cotP_bacsu,0.0
34,cotR_bacsu,0.0
35,cotSA_bacsu,0.003
36,cotS_bacsu,0.003
37,cotV_bacsu,0.0
38,cotW_bacsu,0.0
39,cotX_bacsu,0.0
40,cotY_bacsu,0.0
41,cotZ_bacsu,0.0
42,coxA_bacsu,0.0
43,csbX_bacsu,0.0
44,csfB_bacsu,0.0
45,csgA_bacsu,0.0
46,ctaA_bacsu,0.0
47,ctpB_bacsu,0.0
48,cwlC_bacsu,0.001
49,cwlD_bacsu,0.11699999999999998
50,cwlH_bacsu,0.001
51,cwlJ_bacsu,0.005
52,cypA_bacsu,0.0
53,dacB_bacsu,0.14400000000000002
54,dacF_bacsu,0.156
55,dapA_bacsu,0.002
56,dapG_bacsu,0.004
57,disA_bacsu,0.0
58,divIB_bacsu,0.001
59,divIC_bacsu,0.0
60,exoA_bacsu,0.0
61,exuR_bacsu,0.0
62,exuT_bacsu,0.049
63,fabL_bacsu,0.001
64,fadM_bacsu,0.0
65,fin_bacsu,0.0
66,floT_bacsu,0.0
67,ftsE_bacsu,0.0
68,ftsX_bacsu,0.003
69,ftsY_bacsu,0.0
70,gdh_bacsu,0.0
71,gerAA_bacsu,0.0
72,gerAB_bacsu,0.0
73,gerAC_bacsu,0.0
74,gerBA_bacsu,0.0
75,gerBB_bacsu,0.0
76,gerBC_bacsu,0.001
77,gerD_bacsu,0.0
78,gerE_bacsu,0.0
79,gerKA_bacsu,0.134
80,gerKB_bacsu,0.009000000000000001
81,gerKC_bacsu,0.012
82,gerM_bacsu,0.004
83,gerPA_bacsu,0.0
84,gerPB_bacsu,0.0
85,gerPC_bacsu,0.0
86,gerPD_bacsu,0.0
87,gerPE_bacsu,0.0
88,gerPF_bacsu,0.0
89,gerQ_bacsu,0.001
90,gerT_bacsu,0.0
91,glcU_bacsu,0.020000000000000004
92,glgA_bacsu,0.035
93,glgB_bacsu,0.04300000000000001
94,glgC_bacsu,0.049
95,glgD_bacsu,0.003
96,glgP_bacsu,0.041
97,glnH_bacsu,0.0
98,glnM_bacsu,0.0
99,glnP_bacsu,0.001
100,glnQ_bacsu,0.0
101,gpr_bacsu,0.277
102,ispG_bacsu,0.018000000000000002
103,jag_bacsu,0.0
104,kamA_bacsu,0.0
105,kapB_bacsu,0.0
106,kapD_bacsu,0.0
107,katX_bacsu,0.0
108,kbaA_bacsu,0.0
109,kinA_bacsu,0.0
110,kinB_bacsu,0.001
111,kinC_bacsu,0.001
112,kinD_bacsu,0.0
113,kinE_bacsu,0.0
114,kipR_bacsu,0.0
115,lgt_bacsu,0.0
116,lipC_bacsu,0.0
117,lplD_bacsu,0.001
118,lrpA_bacsu,0.004
119,lrpB_bacsu,0.0
120,lysA_bacsu,0.0
121,lytH_bacsu,0.027999999999999997
122,mbl_bacsu,0.024
123,mciZ_bacsu,0.0
124,mcsA_bacsu,0.001
125,mcsB_bacsu,0.0
126,mmgA_bacsu,0.004
127,mmgB_bacsu,0.0
128,mmgC_bacsu,0.0
129,mmgD_bacsu,0.064
130,mmgE_bacsu,0.0
131,mmgF_bacsu,0.0
132,mstX_bacsu,0.0
133,murB_bacsu,0.0
134,murG_bacsu,0.0
135,nrnB_bacsu,0.0
136,obg_bacsu,0.0
137,oppA_bacsu,0.0
138,oppB_bacsu,0.004
139,oppC_bacsu,0.005
140,oppD_bacsu,0.0
141,oppF_bacsu,0.0
142,oxdD_bacsu,0.0
143,pbpF_bacsu,0.0
144,pbpG_bacsu,0.0
145,pbpI_bacsu,0.0
146,pdaA_bacsu,0.021
147,pdaB_bacsu,0.078
148,phoB_bacsu,0.0
149,phoP_bacsu,0.0
150,phoR_bacsu,0.001
151,phrA_bacsu,0.0
152,phrE_bacsu,0.0
153,phrH_bacsu,0.0
154,prkA_bacsu,0.0
155,prkC_bacsu,0.003
156,pxpB_bacsu,0.0
157,pxpC_bacsu,0.0
158,rapA_bacsu,0.0
159,rapB_bacsu,0.0
160,rapE_bacsu,0.0
161,rapH_bacsu,0.0
162,rghR_bacsu,0.0
163,rsfA_bacsu,0.0
164,safA_bacsu,0.0
165,sbp_bacsu,0.001
166,scoA_bacsu,0.0
167,scoB_bacsu,0.0
168,sda_bacsu,0.0
169,sigF_bacsu,0.143
170,sigG_bacsu,0.106
171,sigK_bacsu,0.415
172,sleB_bacsu,0.12699999999999997
173,sodF_bacsu,0.02
174,splA_bacsu,0.0
175,splB_bacsu,0.001
176,spmA_bacsu,0.164
177,spmB_bacsu,0.14500000000000002
178,spo0A_bacsu,0.014000000000000002
179,spo0A_clodi,0.11899999999999998
180,spo0B_bacsu,0.0
181,spo0E_bacsu,0.0
182,spo0F_bacsu,0.0
183,spo0M_bacsu,0.0
184,spoIIAA_bacsu,0.27799999999999997
185,spoIIAB_bacsu,0.31600000000000006
186,spoIIB_bacsu,0.0
187,spoIID_bacsu,0.095
188,spoIIGA_bacsu,0.04699999999999999
189,spoIIIAA_bacsu,0.30500000000000005
190,spoIIIAB_bacsu,0.028000000000000004
191,spoIIIAC_bacsu,0.11599999999999999
192,spoIIIAD_bacsu,0.20600000000000002
193,spoIIIAE_bacsu,0.16599999999999998
194,spoIIIAF_bacsu,0.0
195,spoIIIAG_bacsu,0.09399999999999999
196,spoIIIAH_bacsu,0.005
197,spoIIID_bacsu,0.262
198,spoIIIE_bacsu,0.0
199,spoIIM_bacsu,0.01
200,spoIIP_bacsu,0.19699999999999998
201,spoIIQ_bacsu,0.06099999999999999
202,spoIIR_bacsu,0.23899999999999996
203,spoIISA_bacsu,0.0
204,spoIISB_bacsu,0.0
205,spoIVA_bacsu,0.30500000000000005
206,spoIVA_clod6,0.0
207,spoIVB_bacsu,0.29500000000000004
208,spoIVFA_bacsu,0.0
209,spoIVFB_bacsu,0.018000000000000002
210,spoVAA_bacsu,0.067
211,spoVAB_bacsu,0.054000000000000006
212,spoVAC_bacsu,0.3450000000000001
213,spoVAD_bacsu,0.42099999999999993
214,spoVAEA_bacsu,0.0
215,spoVAEB_bacsu,0.369
216,spoVAF_bacsu,0.065
217,spoVB_bacsu,0.028
218,spoVD_bacsu,0.010000000000000002
219,spoVE_bacsu,0.005
220,spoVG_bacsu,0.042
221,spoVID_bacsu,0.0
222,spoVIF_bacsu,0.0
223,spoVK_bacsu,0.0
224,spoVM_bacsu,0.0
225,spoVR_bacsu,0.0
226,spoVS_bacsu,0.005
227,spoVT_bacsu,0.26799999999999996
228,spsA_bacsu,0.0
229,spsB_bacsu,0.0
230,spsC_bacsu,0.0
231,spsD_bacsu,0.0
232,spsE_bacsu,0.0
233,spsF_bacsu,0.0
234,spsG_bacsu,0.0
235,spsK_bacsu,0.0
236,spsL_bacsu,0.001
237,sqhC_bacsu,0.0
238,sspA_bacsu,0.0
239,sspB_bacsu,0.06
240,sspC_bacsu,0.0
241,sspD_bacsu,0.046
242,sspE_bacsu,0.0
243,sspF_bacsu,0.003
244,sspG_bacsu,0.0
245,sspH_bacsu,0.0
246,sspI_bacsu,0.0
247,sspJ_bacsu,0.0
248,sspK_bacsu,0.0
249,sspL_bacsu,0.0
