,gene,importance
213,spoVAD_bacsu,0.042099999999999985
171,sigK_bacsu,0.041499999999999995
215,spoVAEB_bacsu,0.0369
212,spoVAC_bacsu,0.03450000000000001
185,spoIIAB_bacsu,0.03160000000000001
205,spoIVA_bacsu,0.030500000000000006
189,spoIIIAA_bacsu,0.030500000000000006
207,spoIVB_bacsu,0.029500000000000005
184,spoIIAA_bacsu,0.027800000000000002
101,gpr_bacsu,0.027699999999999995
227,spoVT_bacsu,0.0268
197,spoIIID_bacsu,0.0262
202,spoIIR_bacsu,0.023899999999999998
266,yabP_bacsu,0.0224
395,ylmC_bacsu,0.0223
476,yqfD_bacsu,0.0214
192,spoIIIAD_bacsu,0.0206
200,spoIIP_bacsu,0.019700000000000002
30,cotJC_bacsu,0.019599999999999996
254,tepA_bacsu,0.0187
554,yuzA_bacsu,0.018400000000000007
193,spoIIIAE_bacsu,0.016599999999999997
176,spmA_bacsu,0.016399999999999998
29,cotJB_bacsu,0.016300000000000002
54,dacF_bacsu,0.0156
177,spmB_bacsu,0.014500000000000002
53,dacB_bacsu,0.014400000000000001
169,sigF_bacsu,0.014300000000000002
79,gerKA_bacsu,0.0134
172,sleB_bacsu,0.012699999999999994
179,spo0A_clodi,0.011899999999999997
49,cwlD_bacsu,0.011699999999999999
191,spoIIIAC_bacsu,0.011600000000000001
170,sigG_bacsu,0.0106
2,asnO_bacsu,0.009799999999999998
187,spoIID_bacsu,0.0095
487,yqhQ_bacsu,0.0094
195,spoIIIAG_bacsu,0.0094
530,ytvI_bacsu,0.0093
278,ycgH_bacsu,0.0086
147,pdaB_bacsu,0.0078
523,ytlA_bacsu,0.0070999999999999995
210,spoVAA_bacsu,0.0067
216,spoVAF_bacsu,0.006500000000000001
526,ytrA_bacsu,0.006500000000000001
129,mmgD_bacsu,0.0064
453,ypeB_bacsu,0.0064
201,spoIIQ_bacsu,0.006099999999999999
239,sspB_bacsu,0.006
475,yqfC_bacsu,0.0057
211,spoVAB_bacsu,0.0054
62,exuT_bacsu,0.0049
94,glgC_bacsu,0.0049
588,yyaC_bacsu,0.0049
188,spoIIGA_bacsu,0.0046999999999999984
241,sspD_bacsu,0.0046
500,yrbG_bacsu,0.004499999999999999
93,glgB_bacsu,0.004300000000000001
220,spoVG_bacsu,0.004200000000000001
96,glgP_bacsu,0.0040999999999999995
92,glgA_bacsu,0.0035000000000000005
541,yugP_bacsu,0.0035000000000000005
512,ytaF_bacsu,0.003
190,spoIIIAB_bacsu,0.0028000000000000004
121,lytH_bacsu,0.0028
217,spoVB_bacsu,0.0027999999999999995
577,ywoD_bacsu,0.0027
587,yxjF_bacsu,0.0027
442,yodT_bacsu,0.0027
419,yngK_bacsu,0.0026
122,mbl_bacsu,0.0024000000000000002
146,pdaA_bacsu,0.0021000000000000003
428,yoaR_bacsu,0.0020000000000000005
91,glcU_bacsu,0.0020000000000000005
173,sodF_bacsu,0.002
334,yhfW_bacsu,0.002
491,yqjC_bacsu,0.0019
102,ispG_bacsu,0.0018000000000000002
209,spoIVFB_bacsu,0.0018000000000000002
292,ydjP_bacsu,0.0017000000000000001
287,ydfS_bacsu,0.0017000000000000001
520,ythA_bacsu,0.0016
178,spo0A_bacsu,0.0014000000000000002
290,ydhD_bacsu,0.0014000000000000002
403,ymfD_bacsu,0.0012000000000000001
81,gerKC_bacsu,0.0012000000000000001
544,yuiC_bacsu,0.0012000000000000001
449,yozE_bacsu,0.0011000000000000005
499,yrbD_bacsu,0.0011
218,spoVD_bacsu,0.0010000000000000002
199,spoIIM_bacsu,0.001
518,yteT_bacsu,0.0009000000000000001
80,gerKB_bacsu,0.0009000000000000001
319,yhbB_bacsu,0.0008
501,yrkC_bacsu,0.0006999999999999999
564,yveA_bacsu,0.0006999999999999999
51,cwlJ_bacsu,0.0005
409,yndE_bacsu,0.0005
264,yaaT_bacsu,0.0005
139,oppC_bacsu,0.0005
226,spoVS_bacsu,0.0005
196,spoIIIAH_bacsu,0.0005
219,spoVE_bacsu,0.0005
56,dapG_bacsu,0.0004
474,yqeC_bacsu,0.0004
543,yugT_bacsu,0.0004
82,gerM_bacsu,0.0004
118,lrpA_bacsu,0.0004
138,oppB_bacsu,0.0004
126,mmgA_bacsu,0.0004
569,ywcA_bacsu,0.00030000000000000003
36,cotS_bacsu,0.00030000000000000003
35,cotSA_bacsu,0.00030000000000000003
155,prkC_bacsu,0.00030000000000000003
262,uxuA_bacsu,0.00030000000000000003
517,yteA_bacsu,0.00030000000000000003
95,glgD_bacsu,0.00030000000000000003
17,clpC_bacsu,0.00030000000000000003
68,ftsX_bacsu,0.00030000000000000003
304,yfkQ_bacsu,0.00030000000000000003
243,sspF_bacsu,0.00030000000000000003
532,ytxC_bacsu,0.00030000000000000003
416,yngHB_bacsu,0.0002
391,ylbC_bacsu,0.0002
515,ytcC_bacsu,0.0002
55,dapA_bacsu,0.0002
545,yumB_bacsu,0.0001
527,ytrH_bacsu,0.0001
117,lplD_bacsu,0.0001
485,yqhO_bacsu,0.0001
404,ymfJ_bacsu,0.0001
124,mcsA_bacsu,0.0001
150,phoR_bacsu,0.0001
165,sbp_bacsu,0.0001
111,kinC_bacsu,0.0001
110,kinB_bacsu,0.0001
99,glnP_bacsu,0.0001
175,splB_bacsu,0.0001
89,gerQ_bacsu,0.0001
76,gerBC_bacsu,0.0001
63,fabL_bacsu,0.0001
58,divIB_bacsu,0.0001
236,spsL_bacsu,0.0001
265,yabG_bacsu,0.0001
50,cwlH_bacsu,0.0001
345,yitA_bacsu,0.0001
363,yjmD_bacsu,0.0001
48,cwlC_bacsu,0.0001
590,yyaL_bacsu,0.0001
